Id,Name,Category,Type,Class,Latitude,Longitude
528992,Agriculture Grounds,District of Columbia physical cultural and historic features,Physical ,Area,38.8892786,-77.0302545
531983,Anacostia Flats,District of Columbia physical cultural and historic features,Physical ,Area,38.8653902,-76.9863643
531915,Barbara Bush Garden,District of Columbia physical cultural and historic features,Physical ,Area,38.9417776,-77.073311
530965,Bolling Anacostia Tract,District of Columbia physical cultural and historic features,Physical ,Area,38.8515015,-77.0135872
529779,Capitol Grounds,District of Columbia physical cultural and historic features,Physical ,Area,38.8898341,-77.0071983
528969,District of Columbia Impound Lot,District of Columbia physical cultural and historic features,Physical ,Area,38.8128911,-77.0171983
531436,Dumbarton Oaks Gardens,District of Columbia physical cultural and historic features,Physical ,Area,38.9148336,-77.0638664
528995,Ellipse Grounds South,District of Columbia physical cultural and historic features,Physical ,Area,38.8940007,-77.0366435
528984,Fort Dupont Maintenance Yard,District of Columbia physical cultural and historic features,Physical ,Area,38.8812233,-76.9555301
531831,Kidwell Meadows,District of Columbia physical cultural and historic features,Physical ,Area,38.8895563,-77.0469215
530004,Loeflers Gardens,District of Columbia physical cultural and historic features,Physical ,Area,38.9065005,-77.0133096
528989,Monument Grounds,District of Columbia physical cultural and historic features,Physical ,Area,38.8890008,-77.0358101
531742,Rock Creek Park Equitation Field,District of Columbia physical cultural and historic features,Physical ,Area,38.9487219,-77.0491438
531749,Rock of Dumbarton,District of Columbia physical cultural and historic features,Physical ,Area,38.9056672,-77.0608108
528991,Smithsonian Grounds,District of Columbia physical cultural and historic features,Physical ,Area,38.8898341,-77.0260877
2085363,Fletchers Cove,District of Columbia physical cultural and historic features,Physical ,Bay,38.9186,-77.103
529369,Oxon Creek,District of Columbia physical cultural and historic features,Physical ,Bay,38.8073356,-77.0263653
529894,Bathing Beach,District of Columbia physical cultural and historic features,Physical ,Beach,38.8817787,-77.034699
529979,Fishing Shore,District of Columbia physical cultural and historic features,Physical ,Beach,38.9112225,-77.0969227
529407,Buzzard Point,District of Columbia physical cultural and historic features,Physical ,Cape,38.8640013,-77.012754
529455,Easby Point,District of Columbia physical cultural and historic features,Physical ,Cape,38.8942785,-77.0563662
530002,Evans Point,District of Columbia physical cultural and historic features,Physical ,Cape,38.8790011,-76.9744196
531074,Giesboro Point,District of Columbia physical cultural and historic features,Physical ,Cape,38.8478905,-77.0196985
529040,Gravel Point,District of Columbia physical cultural and historic features,Physical ,Cape,38.8895563,-77.0635886
530732,Greenleaf Point,District of Columbia physical cultural and historic features,Physical ,Cape,38.8617791,-77.0174763
531309,Hains Point,District of Columbia physical cultural and historic features,Physical ,Cape,38.8573347,-77.021643
528947,Marbury Point,District of Columbia physical cultural and historic features,Physical ,Cape,38.815391,-77.0283098
529702,Peters Point,District of Columbia physical cultural and historic features,Physical ,Cape,38.8917785,-77.0555328
529035,Poplar Point,District of Columbia physical cultural and historic features,Physical ,Cape,38.8698345,-77.0016425
529002,Tete Du Pont,District of Columbia physical cultural and historic features,Physical ,Cape,38.890112,-76.9613637
529578,The Mole,District of Columbia physical cultural and historic features,Physical ,Cape,38.9001117,-77.0577552
528636,Little Falls,District of Columbia physical cultural and historic features,Physical ,Falls,38.9334443,-77.1180342
2575396,Little River,District of Columbia physical cultural and historic features,Physical ,Gut,38.8944444,-77.0647222
531058,Burnham Barrier,District of Columbia physical cultural and historic features,Physical ,Island,38.8959452,-76.9644193
531829,Columbia Island,District of Columbia physical cultural and historic features,Physical ,Island,38.8823342,-77.0571996
528607,Goose Island,District of Columbia physical cultural and historic features,Physical ,Island,38.8084466,-77.0299765
528951,Little Island,District of Columbia physical cultural and historic features,Physical ,Island,38.8912229,-77.0594218
531468,Theodore Roosevelt Island,District of Columbia physical cultural and historic features,Physical ,Island,38.8956674,-77.0619219
528687,Three Sisters Islands,District of Columbia physical cultural and historic features,Physical ,Island,38.9040005,-77.0799779
528944,Kingman Lake,District of Columbia physical cultural and historic features,Physical ,Lake,38.9013983,-76.9640894
531875,Pulpit Rock,District of Columbia physical cultural and historic features,Physical ,Pillar,38.9451109,-77.0466438
529315,Jumpin' Jack Spring,District of Columbia physical cultural and historic features,Physical ,Spring,38.9728882,-77.0474772
532032,Anacostia River,District of Columbia physical cultural and historic features,Physical ,Stream,38.8537237,-77.0202541
532034,Beaverdam Creek,District of Columbia physical cultural and historic features,Physical ,Stream,38.9167783,-76.9427522
528572,Broad Branch,District of Columbia physical cultural and historic features,Physical ,Stream,38.9439998,-77.0488661
528596,Fenwick Branch,District of Columbia physical cultural and historic features,Physical ,Stream,38.9838889,-77.0422222
531475,Foundry Branch,District of Columbia physical cultural and historic features,Physical ,Stream,38.9051116,-77.0791445
528618,Hickey Run,District of Columbia physical cultural and historic features,Physical ,Stream,38.9081673,-76.957197
531302,Maddox Branch,District of Columbia physical cultural and historic features,Physical ,Stream,38.9190002,-77.1027562
532036,Oxon Run,District of Columbia physical cultural and historic features,Physical ,Stream,38.8170576,-77.0063647
528879,Pinehurst Branch,District of Columbia physical cultural and historic features,Physical ,Stream,38.9712216,-77.0438661
528659,Piney Branch,District of Columbia physical cultural and historic features,Physical ,Stream,38.9351111,-77.0469216
532037,Piney Run,District of Columbia physical cultural and historic features,Physical ,Stream,38.8923342,-76.9441409
529274,Pope Branch,District of Columbia physical cultural and historic features,Physical ,Stream,38.8787233,-76.9716417
528665,Roaches Run,District of Columbia physical cultural and historic features,Physical ,Stream,38.863168,-77.0363657
531463,Rock Creek,District of Columbia physical cultural and historic features,Physical ,Stream,38.8995561,-77.0571996
531303,Stickfoot Branch,District of Columbia physical cultural and historic features,Physical ,Stream,38.8651124,-77.0021981
532039,Watts Branch,District of Columbia physical cultural and historic features,Physical ,Stream,38.9056674,-76.957197
528562,Bald Eagle Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.8217799,-77.0102537
531059,Barnard Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.9387222,-76.9702531
531070,Bunker Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.935389,-76.9883091
529727,Camp Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.9215002,-77.066922
531316,Capitol Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.8895563,-77.0094206
531432,Cherry Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.9151114,-77.0619219
531435,Crabapple Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.9145558,-77.0633108
531433,Fairview Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.9153892,-77.0633108
531434,Forsythia Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.9148336,-77.0627553
530171,Fort Bunker Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.935389,-76.9880313
529701,Georgetown Heights,District of Columbia physical cultural and historic features,Physical ,Summit,38.9145558,-77.0791445
529048,Good Hope Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.8678902,-76.9624748
528617,Hickey Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.9126116,-76.957197
528623,Hoover Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.9387222,-76.9705308
529320,Jackson Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.9248335,-77.0469216
531907,Lees Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.9134447,-77.0655331
529066,Licking Banks,District of Columbia physical cultural and historic features,Physical ,Summit,38.9126116,-76.9546969
529707,Linnean Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.9356667,-77.0499772
530156,Mount Alto,District of Columbia physical cultural and historic features,Physical ,Summit,38.9237223,-77.0747
528646,Mount Hamilton,District of Columbia physical cultural and historic features,Physical ,Summit,38.9087228,-76.9752531
531914,Mount Saint Alban,District of Columbia physical cultural and historic features,Physical ,Summit,38.9306667,-77.0705332
530435,Mount Saint Sepulchre,District of Columbia physical cultural and historic features,Physical ,Summit,38.9376111,-76.9849757
529703,Peters Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.8951118,-77.0516438
2496982,Point Reno,District of Columbia physical cultural and historic features,Physical ,Summit,38.9519444,-77.0761111
530967,Round Hill,District of Columbia physical cultural and historic features,Physical ,Summit,38.9262224,-76.9885869
530148,Klingle Valley,District of Columbia physical cultural and historic features,Physical ,Valley,38.9334444,-77.0508106
530151,Piney Branch Valley,District of Columbia physical cultural and historic features,Physical ,Valley,38.9351111,-77.0480327
531728,Rock Creek Valley,District of Columbia physical cultural and historic features,Physical ,Valley,38.9048338,-77.0558106
529008,Soapstone Valley,District of Columbia physical cultural and historic features,Physical ,Valley,38.9476108,-77.0646998
530178,The Potomac Gorge,District of Columbia physical cultural and historic features,Physical ,Valley,38.9073315,-77.0941405
529113,Parrotts Woods,District of Columbia physical cultural and historic features,Physical ,Woods,38.9128893,-77.0563663
530858,Anacostia Helicopter Facility,District of Columbia physical cultural and historic features,Cultural ,Airport,38.8562236,-77.0121983
531863,Bolling Air Force Base Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.8428906,-77.0155317
530995,Bolling Field,District of Columbia physical cultural and historic features,Cultural ,Airport,38.8595569,-77.0055314
531857,Childrens Hospital Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.9273335,-77.0135875
531867,District of Columbia General Hospital ACCC Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.8867788,-76.9749752
531864,FOB-10A 800 Independence Avenue Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.8873342,-77.0227543
531866,Georgetown University Hospital Helistop,District of Columbia physical cultural and historic features,Cultural ,Airport,38.9115004,-77.0758111
531858,Metropolitan Complex Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.9103894,-77.0066428
532041,MPD 2nd Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.9345555,-77.0738667
531861,MPD 3rd District Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.9170558,-77.0358102
531865,MPD 5th Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.9151116,-76.9727531
532042,National Presbyterian Church Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.9420553,-77.0794223
531862,Spirit of Washington Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.8742789,-77.0208097
531870,Steuart Office Pad,District of Columbia physical cultural and historic features,Cultural ,Airport,38.9584439,-77.0880335
531860,United States Park Police Eagles Nest Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.8665013,-76.9921978
531868,Walter Reed Emergency Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.9778882,-77.0269212
531869,Washington Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.8687234,-77.0069204
531859,Washington Post Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.9042784,-77.0338657
531856,WHC Heliport,District of Columbia physical cultural and historic features,Cultural ,Airport,38.9290001,-77.0158098
530812,Anacostia Railroad Bridge,District of Columbia physical cultural and historic features,Cultural ,Bridge,38.8801122,-76.9719195
530574,Arland D Williams Junior Memorial Bridge,District of Columbia physical cultural and historic features,Cultural ,Bridge,38.87539,-77.0399769
531753,Arlington Memorial Bridge,District of Columbia physical cultural and historic features,Cultural ,Bridge,38.8873341,-77.0555328
530727,Benning Bridge,District of Columbia physical cultural and historic features,Cultural ,Bridge,38.8970563,-76.9616415
528869,Bluff Bridge,District of Columbia physical cultural and historic features,Cultural ,Bridge,38.9367778,-77.0480327
528749,Boulder Bridge and Ross Drive Bridge,District of Columbia physical cultural and historic features,Cultural ,Bridge,38.9484442,-77.0444215
528848,Boundary Bridge,District of Columbia physical cultural and historic features,Cultural ,Bridge,38.9867769,-77.0524773
2002709,Boundary Channel Bridge,District of Columbia physical cultural and historic features,Cultural ,Bridge,38.8851119,-77.0613664
528871,Cantilever Bridge,District of Columbia physical cultural and historic features,Cultural ,Bridge,38.9453887,-77.0463661
